Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,,,,
2010011367530,12-Jan-10,1/5/10 0:00,EWR,Newark International Airport,Continental Airlines  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2010011467543,12-Jan-10,1/10/10 9:02,MIA,Miami International Airport,UAL  ,Property Damage,Checked Baggage,Household Items,$129.00 ,Approve in Full
2010011467550,12-Jan-10,1/10/10 0:00,DEN,Denver International Airport ,Frontier Airlines,Passenger Property Loss,Checked Baggage,Clothing,$42.00 ,Approve in Full
2010011467556,12-Jan-10,1/10/10 0:00,F,Foreign airport,Mexicana  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010011467561,12-Jan-10,1/5/10 0:00,SYR,Syracuse-Hancock International,USAir  ,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
2010011467572,12-Jan-10,1/9/10 0:00,MCO,Orlando International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010011567595,12-Jan-10,1/10/10 0:00,MIA,Miami International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Home Decor,$0.00 ,Deny
2010012067663,12-Jan-10,1/2/10 11:00,MYR,Myrtle Beach International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010012067665,12-Jan-10,1/2/10 5:55,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Cosmetics & Grooming,$0.00 ,Deny
2010012067674,12-Jan-10,1/2/10 16:15,JFK,John F. Kennedy International,-,Property Damage,Checkpoint,Audio/Video,$107.89 ,Settle
2010012067682,12-Jan-10,1/5/10 7:00,COS,Colorado Springs Municipal,Continental Airlines  ,Property Damage,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010011467540,13-Jan-10,1/3/10 0:00,SNA,John Wayne,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories; Travel Accessories,$0.00 ,Deny
2010011467546,13-Jan-10,1/4/10 17:35,HOU,William P. Hobby,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010011467547,13-Jan-10,1/10/10 14:37,AUS,Austin-Bergstrom International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,-,$0.00 ,Deny
2010011467552,13-Jan-10,1/4/10 0:00,TPA,Tampa International,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,$0.00 ,Deny
2010011467557,13-Jan-10,1/7/10 8:30,PHL,Philadelphia International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
