Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2010040170307,31-Mar-10,1/13/10 17:15,APN,Alpena County Regional Airport,Northwest Airlines  ,Property Damage,Checkpoint,Clothing,$30.00 ,Approve in Full
2010040170310,31-Mar-10,2/13/10 0:00,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$0.00 ,Deny
2010040170314,31-Mar-10,3/14/10 14:00,MCO,Orlando International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other; Toys & Games,-,-
2010040270318,31-Mar-10,3/29/10 0:00,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checkpoint,Currency; Other,$540.00 ,Approve in Full
2010040270322,31-Mar-10,3/29/10 6:30,LEX,"Blue Grass ,Lexington",Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010040270324,31-Mar-10,3/22/10 14:00,SMF,Sacramento International Airport,Frontier Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$39.66 ,Approve in Full
2010040270325,31-Mar-10,3/14/10 10:00,MYR,Myrtle Beach International,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Other; Personal Electronics,-,-
2010040270326,31-Mar-10,3/15/10 9:00,DAL,Dallas Love Field,Southwest Airlines  ,Property Damage,Checked Baggage,Home Decor,$21.64 ,Approve in Full
2010040270327,31-Mar-10,3/13/10 0:00,ELM,Elmira Corning International,Allegiant Air,Passenger Property Loss,Checked Baggage,Clothing,-,-
2010040270329,31-Mar-10,3/24/10 0:00,OGG,"Kahului-Maui, HI",UAL  ,Property Damage,Checked Baggage,Other,$32.79 ,Settle
2010040270332,31-Mar-10,2/22/10 11:00,STL,Lambert St. Louis International,UAL  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$26.42 ,Approve in Full
2010040270335,31-Mar-10,3/10/10 18:05,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010040270337,31-Mar-10,3/22/10 5:17,SAV,Savannah International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00 ,Deny
2010040270344,31-Mar-10,3/25/10 12:30,SJC,Norman Y Mineta San Jose International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,$300.00 ,Approve in Full
2010040270345,31-Mar-10,3/27/10 0:00,BNA,Nashville International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$149.99 ,Settle
2010040270348,31-Mar-10,1/29/10 7:30,TPA,Tampa International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010040270353,31-Mar-10,2/8/10 0:00,IAD,Washington Dulles International,American Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2010040270355,31-Mar-10,3/25/10 9:50,TPA,Tampa International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$50.00 ,Approve in Full
2010040270362,31-Mar-10,3/5/10 15:30,LAS,McCarran International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Household Items,$0.00 ,Deny
2010040270363,31-Mar-10,3/23/10 0:00,MCO,Orlando International Airport,UAL  ,Passenger Property Loss,-,Clothing,$0.00 ,Deny
2010040570379,31-Mar-10,3/21/10 10:34,IND,Indianapolis International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010040570408,31-Mar-10,2/3/10 4:30,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,$376.00 ,Approve in Full
2010040570417,31-Mar-10,3/13/10 8:20,PNS,Pensacola Regional,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010040570418,31-Mar-10,3/28/10 8:00,MIA,Miami International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010040570426,31-Mar-10,3/20/10 5:18,COS,Colorado Springs Municipal,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010040570429,31-Mar-10,3/28/10 16:30,BOS,Boston (Logan) International Airport ,USAir  ,Passenger Property Loss,Checkpoint,Personal Electronics,$0.00 ,Deny
2010040670437,31-Mar-10,3/1/10 20:00,OAK,Metropolitan Oakland International,Jet Blue,Property Damage,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010040670439,31-Mar-10,3/24/10 5:00,TUS,Tucson International,American Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010040670451,31-Mar-10,1/17/10 0:00,JFK,John F. Kennedy International,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010040670453,31-Mar-10,3/15/10 17:00,TPA,Tampa International,Southwest Airlines  ,Property Damage,Checked Baggage,Other,$0.00 ,Deny
2010040670456,31-Mar-10,1/8/10 6:29,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Home Decor; Travel Accessories,$32.00 ,Approve in Full
2010040670459,31-Mar-10,2/22/10 8:00,MCO,Orlando International Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010040670461,31-Mar-10,3/8/10 7:00,SAT,San Antonio International,Southwest Airlines  ,Property Damage,Checked Baggage,Clothing,$0.00 ,Deny
2010040670465,31-Mar-10,3/24/10 0:14,STL,Lambert St. Louis International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Audio/Video,$0.00 ,Deny
2010040670466,31-Mar-10,3/11/10 0:00,BOS,Boston (Logan) International Airport ,Continental Airlines  ,Property Damage,Checked Baggage,Cosmetics & Grooming,$50.00 ,Approve in Full
2010032469959,1-Apr-10,2/28/10 12:21,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010032469989,1-Apr-10,3/9/10 13:40,SLC,Salt Lake City International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010033070217,1-Apr-10,1/20/10 13:50,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010033170266,1-Apr-10,3/26/10 15:10,MEM,Memphis International Airport,Delta Air Lines  ,Property Damage,Checkpoint,Jewelry & Watches,$0.00 ,Deny
2010040270315,1-Apr-10,2/16/10 0:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Food & Drink; Jewelry & Watches,$0.00 ,Deny
2010040270339,1-Apr-10,3/28/10 8:40,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010040270343,1-Apr-10,3/31/10 0:00,SAT,San Antonio International,American Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2010040270346,1-Apr-10,3/18/10 10:30,EWR,Newark International Airport,Continental Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches; Personal Accessories,-,-
2010040270352,1-Apr-10,3/26/10 6:30,BDL,Bradley International Airport,American Airlines  ,Property Damage,Checkpoint,Other,$175.00 ,Approve in Full
2010040270356,1-Apr-10,3/22/10 17:00,LRD,Laredo International,American Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories; Other; Toys & Games,-,-
2010040670434,1-Apr-10,3/30/10 11:00,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010040670436,1-Apr-10,3/27/10 9:10,LGA,LaGuardia ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras; Other,$0.00 ,Deny
2010040670438,1-Apr-10,3/30/10 7:45,SNA,John Wayne,Continental Airlines  ,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,$0.00 ,Deny
2010040670441,1-Apr-10,3/29/10 17:00,MIA,Miami International Airport,Iberia Airlines,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010040670442,1-Apr-10,3/9/10 19:15,PBI,Palm Beach International,American Airlines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,$0.00 ,Deny
2010040670443,1-Apr-10,3/14/10 6:00,SMF,Sacramento International Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$132.66 ,Approve in Full
2010040670447,1-Apr-10,3/16/10 8:00,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,$50.00 ,Settle
2010040670464,1-Apr-10,3/9/10 11:15,MSO,Missoula International,Allegiant Air,Passenger Property Loss,Checked Baggage,Household Items; Other; Personal Electronics,$0.00 ,Deny
2010040670467,1-Apr-10,2/25/10 11:40,BUF,Buffalo Niagara International,Jet Blue,Property Damage,Checked Baggage,Toys & Games,$0.00 ,Deny
2010040670470,1-Apr-10,3/10/10 0:00,TPA,Tampa International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Clothing,$48.91 ,Approve in Full
2010040670472,1-Apr-10,3/4/10 0:00,LIT,Little Rock National,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010040670474,1-Apr-10,3/10/10 23:30,LAX,Los Angeles International Airport ,Delta Air Lines  ,Property Damage,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010040670476,1-Apr-10,3/21/10 0:00,BTV,"Burlington, VT",Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2010040670480,1-Apr-10,2/8/10 12:45,MCO,Orlando International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$125.00 ,Approve in Full
2010040670481,1-Apr-10,1/30/10 7:00,LSE,La Crosse Municipal,American Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories; Other,$0.00 ,Deny
2010040670482,1-Apr-10,3/18/10 20:45,OGG,"Kahului-Maui, HI",Air Canada,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010040770489,1-Apr-10,3/26/10 15:10,MEM,Memphis International Airport,Delta Air Lines  ,Property Damage,Checkpoint,Jewelry & Watches,-,-
2010040770490,1-Apr-10,3/15/10 11:00,AUS,Austin-Bergstrom International Airport,Continental Airlines  ,Property Damage,Checkpoint,Travel Accessories,$216.49 ,Approve in Full
2010040770491,1-Apr-10,3/21/10 0:00,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Musical Instruments & Accessories,$0.00 ,Deny
2010040770494,1-Apr-10,3/29/10 0:00,ONT,Ontario International,Continental Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$0.00 ,Deny
2010040770496,1-Apr-10,2/14/10 13:00,OGG,"Kahului-Maui, HI",Westjet Airlines Ltd  ,Passenger Property Loss,Checkpoint,-,$68.75 ,Approve in Full
2010040770500,1-Apr-10,3/31/10 13:30,JFK,John F. Kennedy International,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010040770506,1-Apr-10,3/5/10 7:30,EWR,Newark International Airport,Jet Blue,Property Damage,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010040770508,1-Apr-10,3/2/10 16:00,MIA,Miami International Airport,TAM airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing,$65.00 ,Settle
2010040770511,1-Apr-10,3/3/10 0:00,JFK,John F. Kennedy International,Pakistan International Airlines Cor  ,Passenger Property Loss,Checkpoint,Other,-,-
2010040770512,1-Apr-10,2/12/10 0:00,JFK,John F. Kennedy International,Emirates,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010040770526,1-Apr-10,3/14/10 12:20,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checkpoint,-,$75.00 ,Approve in Full
2010033070210,2-Apr-10,3/3/10 20:45,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00 ,Deny
2010033170248,2-Apr-10,3/25/10 14:30,EWR,Newark International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
